1;10/03/2004;18.00.00;2.600000;1360;150;11.9;1046;166;1056;113;1692;1268;13.6;48.9;0.7578
2;10/03/2004;19.00.00;2.300000;1292;112;9.4;955;103;1174;92;1559;972;13.3;47.7;0.7255
3;10/03/2004;20.00.00;2.266667;1402;88;9.0;939;131;1140;114;1555;1074;11.9;54.0;0.7502
4;10/03/2004;21.00.00;2.133333;1376;80;9.2;948;172;1092;122;1584;1203;11.0;60.0;0.7867
15;11/03/2004;08.00.00;2.000000;1333;64;8.0;900;174;1136;112;1517;1102;10.8;57.4;0.7408
16;11/03/2004;09.00.00;2.100000;1351;87;9.5;960;129;1079;101;1583;1028;10.5;60.6;0.7691
21;11/03/2004;14.00.00;2.900000;1371;164;11.5;1034;207;983;128;1730;1037;8.0;81.1;0.8736
22;11/03/2004;15.00.00;2.550000;1310;79;8.8;933;184;1082;126;1647;946;8.3;79.8;0.8778
23;11/03/2004;16.00.00;2.433333;1292;95;8.3;912;193;1103;131;1591;957;9.7;71.2;0.8569
24;11/03/2004;17.00.00;2.433333;1383;150;11.2;1020;243;1008;135;1719;1104;9.8;67.6;0.8185
25;11/03/2004;18.00.00;3.300000;1581;307;20.8;1319;281;799;151;2083;1409;10.3;64.2;0.8065
26;11/03/2004;19.00.00;4.866667;1776;461;27.4;1488;383;702;172;2333;1704;9.7;69.3;0.8319
27;11/03/2004;20.00.00;5.933333;1640;401;24.0;1404;351;743;165;2191;1654;9.6;67.8;0.8133
28;11/03/2004;21.00.00;5.633333;1313;197;12.8;1076;240;957;136;1707;1285;9.1;64.0;0.7419
39;12/03/2004;08.00.00;4.400000;1587;202;17.9;1236;307;897;141;1900;1400;7.3;63.1;0.6499
41;12/03/2004;10.00.00;3.750000;1350;208;14.0;1118;187;912;122;1712;1237;13.2;41.7;0.6320
42;12/03/2004;11.00.00;2.900000;1263;166;11.6;1037;216;969;143;1598;1167;14.3;38.4;0.6243
43;12/03/2004;12.00.00;2.633333;1206;114;10.2;986;143;1035;113;1537;959;15.0;36.5;0.6195
44;12/03/2004;13.00.00;2.433333;1252;140;11.0;1016;160;1008;116;1593;983;16.1;34.5;0.6262
45;12/03/2004;14.00.00;2.433333;1287;169;12.8;1078;163;949;123;1660;1061;16.3;35.7;0.6560
46;12/03/2004;15.00.00;2.700000;1353;185;14.2;1122;190;922;126;1740;1139;15.8;37.0;0.6610
47;12/03/2004;16.00.00;2.800000;1309;165;12.7;1073;178;954;120;1657;1112;15.9;37.2;0.6657
48;12/03/2004;17.00.00;2.700000;1274;133;11.7;1041;150;1006;119;1610;994;16.9;34.3;0.6549
49;12/03/2004;18.00.00;3.033333;1510;233;19.3;1277;206;812;149;1910;1410;15.1;39.6;0.6766
