{eventTime=2004-03-15T18:00, coLevel=6.1}|{eventTime=2004-03-15T19:00, coLevel=8.0}|{eventTime=2004-03-15T20:00, coLevel=6.5}
{eventTime=2004-09-21T07:00, coLevel=5.6}|{eventTime=2004-09-21T08:00, coLevel=7.3}|{eventTime=2004-09-21T09:00, coLevel=5.3}
{eventTime=2004-11-02T13:00, coLevel=5.1}|{eventTime=2004-11-02T14:00, coLevel=7.5}|{eventTime=2004-11-02T15:00, coLevel=5.8}|{eventTime=2004-11-02T16:00, coLevel=5.9}|{eventTime=2004-11-02T17:00, coLevel=6.8}|{eventTime=2004-11-02T18:00, coLevel=7.9}|{eventTime=2004-11-02T19:00, coLevel=8.0}|{eventTime=2004-11-02T20:00, coLevel=9.2}|{eventTime=2004-11-02T21:00, coLevel=5.9}
{eventTime=2004-11-19T16:00, coLevel=5.6}|{eventTime=2004-11-19T17:00, coLevel=7.5}|{eventTime=2004-11-19T18:00, coLevel=7.2}|{eventTime=2004-11-19T19:00, coLevel=8.3}|{eventTime=2004-11-19T20:00, coLevel=8.6}
{eventTime=2004-12-01T16:00, coLevel=5.6}|{eventTime=2004-12-01T17:00, coLevel=6.2}|{eventTime=2004-12-01T18:00, coLevel=7.5}
{eventTime=2004-12-16T16:00, coLevel=5.5}|{eventTime=2004-12-16T17:00, coLevel=5.2}|{eventTime=2004-12-16T18:00, coLevel=7.5}|{eventTime=2004-12-16T19:00, coLevel=8.6}|{eventTime=2004-12-16T20:00, coLevel=9.1}|{eventTime=2004-12-16T21:00, coLevel=8.6}|{eventTime=2004-12-16T22:00, coLevel=5.4}
{eventTime=2005-01-31T18:00, coLevel=6.1}|{eventTime=2005-01-31T19:00, coLevel=6.8}|{eventTime=2005-01-31T20:00, coLevel=6.8}
{eventTime=2004-04-15T17:00, coLevel=5.2}|{eventTime=2004-04-15T18:00, coLevel=5.9}|{eventTime=2004-04-15T19:00, coLevel=7.3}|{eventTime=2004-04-15T20:00, coLevel=6.1}
{eventTime=2004-09-22T18:00, coLevel=5.1}|{eventTime=2004-09-22T19:00, coLevel=5.2}
{eventTime=2004-11-05T17:00, coLevel=8.1}|{eventTime=2004-11-05T18:00, coLevel=8.0}
{eventTime=2004-11-23T12:00, coLevel=5.3}|{eventTime=2004-11-23T13:00, coLevel=5.4}|{eventTime=2004-11-23T14:00, coLevel=7.3}|{eventTime=2004-11-23T15:00, coLevel=5.1}|{eventTime=2004-11-23T16:00, coLevel=5.3}|{eventTime=2004-11-23T17:00, coLevel=7.3}|{eventTime=2004-11-23T18:00, coLevel=10.2}|{eventTime=2004-11-23T19:00, coLevel=11.9}|{eventTime=2004-11-23T20:00, coLevel=11.5}|{eventTime=2004-11-23T21:00, coLevel=8.3}
{eventTime=2004-12-03T17:00, coLevel=6.9}|{eventTime=2004-12-03T18:00, coLevel=5.1}
{eventTime=2005-01-14T18:00, coLevel=5.7}|{eventTime=2005-01-14T19:00, coLevel=5.8}|{eventTime=2005-01-14T20:00, coLevel=5.8}
{eventTime=2004-09-21T18:00, coLevel=5.6}|{eventTime=2004-09-21T19:00, coLevel=5.4}
{eventTime=2004-11-04T18:00, coLevel=8.7}|{eventTime=2004-11-04T19:00, coLevel=5.8}
{eventTime=2004-11-22T18:00, coLevel=6.3}|{eventTime=2004-11-22T19:00, coLevel=6.9}|{eventTime=2004-11-22T20:00, coLevel=6.5}
{eventTime=2004-12-02T18:00, coLevel=7.7}|{eventTime=2004-12-02T19:00, coLevel=9.4}|{eventTime=2004-12-02T20:00, coLevel=7.8}|{eventTime=2004-12-02T21:00, coLevel=6.6}
{eventTime=2005-01-12T19:00, coLevel=5.7}|{eventTime=2005-01-12T20:00, coLevel=5.6}|{eventTime=2005-01-12T21:00, coLevel=5.9}
{eventTime=2005-02-02T09:00, coLevel=6.7}|{eventTime=2005-02-02T10:00, coLevel=5.6}
{eventTime=2005-03-02T19:00, coLevel=5.1}|{eventTime=2005-03-02T20:00, coLevel=5.3}
