27;11/03/2004;20.00.00;5.933333;1640;401;24.0;1404;351;743;162.666667;2191;1654;9.6;67.8;0.8133
28;11/03/2004;21.00.00;5.633333;1313;197;12.8;1076;240;957;157.666667;1707;1285;9.1;64.0;0.7419
112;15/03/2004;09.00.00;5.266667;1961;618;36.7;1701;478;537;117.333333;2665;2184;14.8;54.3;0.9076
113;15/03/2004;10.00.00;6.466667;1771;438;26.6;1470;394;622;140.000000;2262;1973;17.4;45.6;0.8993
114;15/03/2004;11.00.00;6.033333;1564;334;20.1;1300;319;710;153.666667;2029;1798;19.8;38.5;0.8801
122;15/03/2004;19.00.00;5.633333;2040;685;39.2;1754;404;542;153.000000;2679;2122;20.4;42.5;1.0086
123;15/03/2004;20.00.00;6.866667;1895;538;31.0;1573;320;565;171.333333;2443;1992;18.3;52.6;1.0945
124;15/03/2004;21.00.00;6.233333;1595;319;19.9;1294;256;678;165.666667;2058;1707;16.7;57.4;1.0786
160;17/03/2004;09.00.00;5.350000;1852;534;36.4;1696;377;553;117.500000;2535;1931;14.1;50.0;0.8020
161;17/03/2004;10.00.00;5.000000;1522;368;21.3;1331;280;703;123.000000;2026;1734;17.7;40.1;0.8048
170;17/03/2004;19.00.00;5.033333;1973;577;38.4;1737;411;617;155.333333;2414;2306;23.1;26.5;0.7403
171;17/03/2004;20.00.00;6.433333;1975;523;35.1;1667;347;597;178.000000;2416;2359;20.5;38.2;0.9133
172;17/03/2004;21.00.00;6.666667;1795;472;27.2;1485;336;653;185.333333;2174;2050;19.1;42.6;0.9294
173;17/03/2004;22.00.00;5.066667;1444;206;15.0;1150;202;770;166.000000;1727;1727;17.2;44.1;0.8558
184;18/03/2004;09.00.00;5.650000;1934;506;35.8;1682;421;541;137.500000;2468;2051;14.3;50.6;0.8186
185;18/03/2004;10.00.00;5.266667;1617;NaN;21.3;1333;349;686;141.666667;2010;1819;17.8;40.5;0.8210
208;19/03/2004;09.00.00;5.500000;1819;NaN;31.3;1582;357;575;161.500000;2456;1716;13.6;58.8;0.9120
209;19/03/2004;10.00.00;5.000000;1427;NaN;19.2;1275;253;701;157.333333;1980;1398;13.9;57.1;0.9032
519;01/04/2004;08.00.00;5.200000;1722;1042;31.9;1595;378;539;106.500000;2439;1798;11.9;60.9;0.8455
520;01/04/2004;09.00.00;5.000000;1512;737;21.0;1323;304;631;117.333333;2001;1677;16.2;48.6;0.8892
639;06/04/2004;08.00.00;5.350000;1757;1084;33.7;1636;302;494;131.500000;2560;1806;16.2;52.5;0.9576
640;06/04/2004;09.00.00;5.033333;1524;776;22.0;1350;256;588;129.333333;2096;1604;18.4;46.3;0.9734
699;08/04/2004;20.00.00;5.066667;1319;544;15.8;1172;232;746;153.666667;1699;1425;15.8;39.8;0.7096
866;15/04/2004;19.00.00;6.133333;1875;1189;33.7;1637;351;482;152.000000;2446;2086;17.4;47.8;0.9392
867;15/04/2004;20.00.00;6.433333;1746;824;24.2;1409;319;553;151.666667;2119;1898;16.8;49.8;0.9446
868;15/04/2004;21.00.00;6.000000;1607;660;19.8;1290;264;587;146.666667;1960;1758;16.2;53.2;0.9723
889;16/04/2004;18.00.00;5.200000;1529;575;20.4;1309;270;627;141.000000;2083;1385;14.0;76.3;1.2166
890;16/04/2004;19.00.00;5.766667;1689;783;26.8;1474;323;560;144.000000;2298;1492;13.9;78.0;1.2303
891;16/04/2004;20.00.00;5.866667;1535;706;19.9;1295;307;627;143.333333;2039;1380;13.8;78.0;1.2229
892;16/04/2004;21.00.00;5.266667;1304;299;12.5;1067;224;737;135.333333;1811;1167;13.5;79.4;1.2224
